ReportingArea,TotalCases,ConfirmedCases,ProbableCases
United States,"42,743","29,513","13,230"
New England,"7,916","5,323","2,593"
Middle Atlantic,"22,147","16,381","5,766"
East North Central,"3,976","2,533","1,443"
West North Central,"2,707","1,557","1,150"
South Atlantic,"5,422","3,436","1,986"
East South Central,109,47,62
West South Central,77,41,36
Mountain,113,64,49
Pacific,276,131,145
